bvid,pubdate,live_date,duration,cover,title
BV1Qu411P7U9,2023-09-08,2023-09-07,104:58,https://i0.hdslb.com/bfs/archive/cc5c6e01596d69f30a32ea63fe522d491770fb96.jpg,女流-2023.9.7-鹅鸭杀
BV1ej41117wj,2023-09-06,2023-09-06,314:51,https://i0.hdslb.com/bfs/archive/2545bf6e3315af3f694ab1859e1b257827cb567e.jpg,女流-2023.9.6-Trine 5
BV1wu4y1k7yB,2023-09-05,2023-09-05,190:03,https://i0.hdslb.com/bfs/archive/7eca5f353d24f240bf0182ccb393b37789e5fd29.jpg,女流-2023.9.5-Trine 5
BV1g14y1C77N,2023-09-05,2023-09-05,215:23,https://i0.hdslb.com/bfs/archive/7eca5f353d24f240bf0182ccb393b37789e5fd29.jpg,女流-2023.9.5-装甲核心6境界天火
BV1k94y1s7h3,2023-09-03,2023-09-03,125:31,https://i0.hdslb.com/bfs/archive/7eca5f353d24f240bf0182ccb393b37789e5fd29.jpg,女流-2023.9.3-装甲核心6境界天火
BV1eN411v7XM,2023-09-03,2023-09-03,113:32,https://i0.hdslb.com/bfs/archive/2545bf6e3315af3f694ab1859e1b257827cb567e.jpg,女流-2023.9.3-Trine 5
BV1Vp4y177De,2023-09-03,2023-09-02,261:19,https://i0.hdslb.com/bfs/archive/2545bf6e3315af3f694ab1859e1b257827cb567e.jpg,女流-2023.9.2-Trine 5
BV1kF411673t,2023-09-02,2023-09-01,102:10,https://i0.hdslb.com/bfs/archive/d6adc31768ba57540ea3ce910435296e2cf496f4.jpg,P2-女流-2023.9.1-猛兽派对
BV1ah4y1m7N2,2023-09-02,2023-09-01,151:48,https://i0.hdslb.com/bfs/archive/d6adc31768ba57540ea3ce910435296e2cf496f4.jpg,P1-女流-2023.9.1-猛兽派对
BV1Tj411m7zv,2023-09-01,2023-08-31,110:36,https://i0.hdslb.com/bfs/archive/2545bf6e3315af3f694ab1859e1b257827cb567e.jpg,女流-2023.8.31-Trine 5
BV1G14y1y7Xa,2023-09-01,2023-08-31,186:01,https://i0.hdslb.com/bfs/archive/53e56872ee1c4723e7ccff62e893aaabda677c9f.jpg,女流-2023.8.31-AltF4
BV1or4y1X7L4,2023-08-31,2023-08-30,296:56,https://i0.hdslb.com/bfs/archive/7eca5f353d24f240bf0182ccb393b37789e5fd29.jpg,P1-女流-2023.8.30-装甲核心6境界天火
