account,bvid,live_date,capture_window,title,pubdate,parts,duration_min,disposition,entries,note
bili-fan-zytau,BV1Ma4y1T7y4,2023-04-08,2023-04-08 13:09→2023-04-08 20:10,[2023-04-08 13-09-16][女流66][先只狼，七点活动],2023-04-09 04:17,1,420,source-existing,2023-04-08-live-01,
bili-fan-kassytan,BV1Ug4y1M7uQ,2023-04-09,2023-04-09 11:56→2023-04-09 19:14,【女流66】直播回放2023-04-09,2023-04-09 21:03,15,437,source-existing,2023-04-09-live-01,
bili-fan-zytau,BV1oV4y1f7xb,2023-04-09,2023-04-09 11:56→2023-04-09 19:14,[2023-04-09 11-56-33][女流66][【钻粉2.5倍】只狼白金之路],2023-04-10 02:27,5,406,source-existing,2023-04-09-live-01,
bili-fan-kassytan,BV1uM4y127e5,2023-04-10,2023-04-10 15:07→2023-04-10 21:12,【女流66】直播回放2023-04-10,2023-04-10 22:51,10,364,source-existing,2023-04-10-live-01,
bili-fan-zytau,BV1V54y1F7pG,2023-04-10,2023-04-10 15:03→2023-04-10 21:12,[2023-04-10 15-03-49][女流66][只狼打铁打铁当当当当],2023-04-11 00:22,3,364,source-existing,2023-04-10-live-01,
bili-fan-kassytan,BV1oX4y167aY,2023-04-11,2023-04-11 12:47→2023-04-11 21:33,【女流66】直播回放2023-04-11,2023-04-12 01:22,18,526,source-existing,2023-04-11-live-01,
bili-fan-zytau,BV1Zc411H738,2023-04-11,2023-04-11 13:00→2023-04-11 21:33,[2023-04-11 13-00-39][女流66][只狼打铁打铁当当当当],2023-04-12 01:40,3,512,source-existing,2023-04-11-live-01,
bili-fan-kassytan,BV1vc411p7gT,2023-04-12,2023-04-12 13:04→2023-04-12 19:03,【女流66】直播回放2023-04-12,2023-04-12 20:54,12,358,source-existing,2023-04-12-live-01,
bili-fan-zytau,BV1pk4y1e7ZZ,2023-04-12,2023-04-12 13:05→2023-04-12 19:03,[2023-04-12 13-05-37][女流66][只狼白金就在今天了吧],2023-04-13 00:43,2,357,source-existing,2023-04-12-live-01,
bili-fan-kassytan,BV1r54y1F773,2023-04-14,2023-04-14 13:44→2023-04-14 19:05,【女流66】直播回放2023-04-14,2023-04-14 20:56,11,320,source-existing,2023-04-14-live-01,
bili-fan-zytau,BV1qM41157qY,2023-04-14,2023-04-14 13:42→2023-04-14 19:05,[2023-04-14 13-42-58][女流66][156277直播间],2023-04-15 01:57,1,322,source-existing,2023-04-14-live-01,
bili-fan-kassytan,BV1Eo4y1E7CE,2023-04-16,2023-04-16 15:10→2023-04-16 19:18,【女流66】直播回放2023-04-16,2023-04-16 22:26,8,249,source-existing,2023-04-16-live-01,
bili-fan-zytau,BV1YP411m7ps,2023-04-16,2023-04-16 15:10→2023-04-16 19:18,[2023-04-16 15-10-43][女流66][各位的耳朵有福了],2023-04-19 06:50,1,248,source-existing,2023-04-16-live-01,
bili-fan-kassytan,BV1RM411L71X,2023-04-18,2023-04-18 15:07→2023-04-18 19:27,【女流66】直播回放2023-04-18,2023-04-18 20:48,9,259,source-existing,2023-04-18-live-01,
bili-fan-kassytan,BV15h411E7y8,2023-04-19,2023-04-19 15:08→2023-04-19 19:10,【女流66】直播回放2023-04-19,2023-04-20 01:54,8,242,source-existing,2023-04-19-live-01,
bili-fan-kassytan,BV1Ms4y1d7sX,2023-04-20,2023-04-20 14:38→2023-04-20 21:32,【女流66】直播回放2023-04-20,2023-04-21 00:00,14,414,source-existing,2023-04-20-live-01,
bili-fan-kassytan,BV18s4y1A7GN,2023-04-22,2023-04-22 15:09→2023-04-22 19:34,【女流66】直播回放2023-04-22,2023-04-22 20:57,9,265,source-existing,2023-04-22-live-01,
bili-fan-zytau,BV1Dh411E79v,2023-04-22,2023-04-22 15:04→2023-04-22 19:34,[2023-04-22 15-04-59][女流66][走马上任咯~~~~],2023-04-23 05:43,1,269,source-existing,2023-04-22-live-01,
bili-fan-kassytan,BV1Cs4y1A7W6,2023-04-23,2023-04-23 15:21→2023-04-23 20:37,【女流66】直播回放2023-04-23,2023-04-23 23:39,11,315,source-existing,2023-04-23-live-01,
